rpm,torque_nm,pulse_window_deg,pulse_window_rad,pulse_events_per_second,work_per_pulse_j,electrical_input_power_w,mechanical_pulse_power_w,load_power_w,net_electrical_energy_per_revolution_j,mechanical_pulse_energy_per_revolution_j,load_energy_per_revolution_j,balance_ratio,balance_flag
100,0.5,3,0.05235987755982989,20.0,0.026179938779914945,0.35000000000000003,0.5235987755982989,8.377580409572783,0.21000000000000002,0.3141592653589793,5.026548245743669,1.4959965017094252,UNBALANCED
100,0.6,3,0.05235987755982989,20.0,0.031415926535897934,0.35000000000000003,0.6283185307179586,8.377580409572783,0.21000000000000002,0.3769911184307752,5.026548245743669,1.7951958020513104,UNBALANCED
100,0.7,3,0.05235987755982989,20.0,0.03665191429188092,0.35000000000000003,0.7330382858376184,8.377580409572783,0.21000000000000002,0.4398229715025711,5.026548245743669,2.0943951023931953,UNBALANCED
100,0.8,3,0.05235987755982989,20.0,0.04188790204786391,0.35000000000000003,0.8377580409572782,8.377580409572783,0.21000000000000002,0.5026548245743669,5.026548245743669,2.3935944027350806,UNBALANCED
100,0.9,3,0.05235987755982989,20.0,0.0471238898038469,0.35000000000000003,0.942477796076938,8.377580409572783,0.21000000000000002,0.5654866776461628,5.026548245743669,2.6927937030769655,UNBALANCED
100,1.0,3,0.05235987755982989,20.0,0.05235987755982989,0.35000000000000003,1.0471975511965979,8.377580409572783,0.21000000000000002,0.6283185307179586,5.026548245743669,2.9919930034188504,UNBALANCED
100,1.1,3,0.05235987755982989,20.0,0.057595865315812886,0.35000000000000003,1.1519173063162578,8.377580409572783,0.21000000000000002,0.6911503837897546,5.026548245743669,3.2911923037607362,UNBALANCED
100,1.2,3,0.05235987755982989,20.0,0.06283185307179587,0.35000000000000003,1.2566370614359172,8.377580409572783,0.21000000000000002,0.7539822368615504,5.026548245743669,3.5903916041026207,UNBALANCED
100,1.3,3,0.05235987755982989,20.0,0.06806784082777886,0.35000000000000003,1.3613568165555772,8.377580409572783,0.21000000000000002,0.8168140899333464,5.026548245743669,3.889590904444506,UNBALANCED
100,1.4,3,0.05235987755982989,20.0,0.07330382858376185,0.35000000000000003,1.4660765716752369,8.377580409572783,0.21000000000000002,0.8796459430051422,5.026548245743669,4.1887902047863905,UNBALANCED
100,1.5,3,0.05235987755982989,20.0,0.07853981633974483,0.35000000000000003,1.5707963267948966,8.377580409572783,0.21000000000000002,0.9424777960769379,5.026548245743669,4.487989505128276,UNBALANCED
100,1.6,3,0.05235987755982989,20.0,0.08377580409572782,0.35000000000000003,1.6755160819145565,8.377580409572783,0.21000000000000002,1.0053096491487339,5.026548245743669,4.787188805470161,UNBALANCED
100,1.7,3,0.05235987755982989,20.0,0.0890117918517108,0.35000000000000003,1.7802358370342162,8.377580409572783,0.21000000000000002,1.0681415022205296,5.026548245743669,5.086388105812046,UNBALANCED
100,1.8,3,0.05235987755982989,20.0,0.0942477796076938,0.35000000000000003,1.884955592153876,8.377580409572783,0.21000000000000002,1.1309733552923256,5.026548245743669,5.385587406153931,UNBALANCED
100,1.9,3,0.05235987755982989,20.0,0.09948376736367678,0.35000000000000003,1.9896753472735358,8.377580409572783,0.21000000000000002,1.1938052083641213,5.026548245743669,5.6847867064958155,UNBALANCED
